,writer,title
116,질리언6,총사 요정
117,정큐,다크엘프 영혼결정체
118,푸른레몬,전설변신주문서 나올것같지 않음?
119,하나만주라,TJ쿠폰..
120,곰간지,키보드 안되네 먹통
121,투신x,시던 다들하심??
122,멍꾸뉴비,하여튼 우리 형님들 참
123,과금킹익,드뎌 희변 희인 탈출합니다..
124,멍꾸뉴비,이계 시리즈가 가격이 좋네요
125,GiantRookie,마법인형 원턴 다이 실화냐?
126,공준다,2룬 기대값
127,고주망고,칭찬)Nc가 유일하게 올린 확률
128,금천구블소,뜬금없이 NC에서 쪽지가왔는데 이거뭔지아시..
129,멍꾸뉴비,후... 한번만 떠줘라
130,영응왕,무섬 코인 너무 안나오네
131,시원아빠v,TJ 장비 복구 질문요
132,초신월,얼마만의 득템인지
133,헬린이,세바스찬 나쁜놈아 전주인형 변뽑에만 7천썻..
134,ievelfive,여포왕님 방송 탐
135,거지보면짖음,형들 리니지 대신 할 게임 추천 좀 해주라
136,아임로얄,컬스스 형
137,낫들고달려,암기 사냥충 스텟질문
138,옥끄전사,오랫만에 러쉬 성공했네요
139,Johnnashiva,6푸귀 기대값
140,컬스스,팩트만 말하고 싶다.
141,환타스팈,"소프불요정 , 카어블어기사"
142,인덕원뽀삐,이제 기감은 버린 사냥터로 봐야 합니까?
143,아임로얄,캬캬 드뎌 다골 득
144,쌩초보,이번3주년때 이건 꼭 복구권 줄듯
145,조승웁,3주년 이벤트
146,프로게임마,수호성 어느정도는 해야 평균인가요?
147,두이86,구글 페북 왜 이제야 난리임?
148,헬린이,원거리 명중옵션 예전에 건들여서 잘박히게 ..
149,Adsaewq,계정거래도와주세요
150,알랑방구v,이정도면 중립쟁 할만한가요?
151,린슈바르처,진짜 그런일은 없겟지만 ㅋㅋㅋㅋ
152,컬스스,나도 이제 흰딱아니다~
153,칠대작,형들 리린이 질문 좀 봐줭
154,컬스스,팩트를 묻는다.
155,호롤롤로로,사냥만 한다면 마방이 필요한가?
156,꿈붕이,●●오시장궁●●쓰시는분들 계신가요..
157,리오88,요즘 필드에서 영웅스킬분 드신분있음?
158,블랙볼트,총사부캐 성패먹이고 하이네 온라인하는데 둠..
159,낫들고달려,82암기 질문좀...
160,방년아가자,신검 힘 다찍고나서
161,Bryankim,계정 논란 답변 받아왔엉
162,쌩초보,룬 강화수치도 케릭값에 영향을 줄까요?
163,하남청년,내 인생은 내가 만든다
164,미운오리새끼,tj 행복회로
165,알거없다,nc계정 구매후..
166,컬스스,컬스스 팩트만 말한다
167,Messl,형들 55렙에서 60
168,널사랑했고,개대지력 테스트
169,꽃7,움짤 어찌 만들어요?
170,미운오리새끼,오리새끼
171,헬로뿌잉,3주면 tj쿠폰 팁 준다.
172,오늘,캐릭명 선택
173,마나의지팡이,3주년 TJ 관련 글이다 꼭 봐라!!
174,찰스말가면,형들 성패2 사놨는데
175,보두박,형들 문양 6시 만들려면 얼마 듬??
