,writer,title
112,adsrasdfasdf,복귀유저 도움점요
113,뿌아쭈아,형들 나좀 도와줘 ㅡㅡ 이거 하나도 모르겠어
114,퓨토,리니지 처음하는 신규유저 입니다..
115,문실,나이트발드 서버
116,아담,퇴근후 에 아이디 두개 생성했는데
117,리니지레드,12시후 어제 사기당하신분들 글봐주세요
118,캐나다시민,리마스터에는 템드랍됩니까?
119,Russeeellll,출석
120,Lichev,사기꾼 안태성 잡혔습니다.
121,겟와일드,전지현... ㅎ
122,YuniHunter,리마스터 복귀 어떤가?
123,달빛의매력,3일차입니다!
124,건빵이블로그,리니지만한 게임이없지
125,무지개목도리,아... 현질 하구시펑.
126,무지개목도리,진짜 갓게임이다.
127,잠시후,마격 부탁드립니다 크리시 2000 이니
128,Msrd0708,야 이새끼 걸렸다ㅋㅋㅋㅋ
129,끼룩꺄룩,리니지m쿠폰 팔아요
130,초추남,리니지 시계 유물 발견ㅋㅋㅋㅋ
131,D도리도리,73렙 기사단 8검 6셋(AC -94) 까지..
132,인벤운영팀,새로운 인장 시스템이 적용되었습니다.
133,나그내,무과금도 할만한가요?
134,소프트하게,안녕하세요우
135,Proran,기억의 수정(큐브 : 아바타) 무슨 아이템 ..
136,다크샤이언,무과금 마법사 초기 스텟 어케찍나요?
137,지옥불악사,거래사이트에서 아이템을 거래안하는 이유가 있..
138,미도8,공홈에 방금 뜬 공지입니다     신규 클래..
139,여름타나봐,리니지 언제망하나요???
140,구리구링,무료 북미 리니지2클래식
141,힐딱임,다이아
142,군필,데스셋 사려고 알바 시작했어요...
143,죽탱기사,영상) 리니지 리마스터 스피드핵? 버그?
144,귀제갈량,[발센] 인천 혈맹 있나요 ~?
145,난주성,"리니지 유저분들 안타깝네요,,"
146,알려주세영11,처음시작하는데 하지말라는말 사절요
147,죽탱기사,영상포함) 리니지 리마스터 불법자동작업장 횡..
148,레드로버,리니지리마스터 접속에러코드0 부탁드립니다....
149,신족단군,마격 부탁드립니다.
150,스타쉬피스,70렙 70방 군주는 아덴 적자 없이 사냥 ..
151,퀸이찡,[서큐버스] 뇌신검 삽니다.
152,asdfqw,티제이쿠폰 막차타보고싶습니다!
153,돌겠다,AMD50만원대 견적
154,돌겠다,AMD 65만원 견적(저 업자아니고 퍼온겁니..
155,돌겠다,하이네숲 해방된 대정령 죽이는 방법 없나요
156,장독대장,요즘엔 계몽이라 하는구나 ㅋㅋ
157,리요,리니지 85케릭잇는데 다시. 재미로하면 흑우..
158,겜마법사,[켄라우헬]켄트성 공성전 영상입니다
159,셜록홍군,리니지 정말 오래된 게임이잖아요.
160,didns,어이가 없어서
161,쏭찬,탈영병을 찾습니다.
162,심연군,오토값이 5만원
163,돌겠다,시작 5일인 저한테 TJ쿠폰은 무의미한거죠...
164,스타쉬피스,렙 53전사입니다.
165,바레기,혹시
166,Envi,행님들 부분유료화 관련해서 궁금한게있는데요
167,유람선00,마격 부탁드립니다~
168,벨릭드루와,엔씨소프트의 꼼수…'현질' 부추기는 리니지
169,내이름은,형들 월요일 고생해쪙 야짤로 몸좀 녹이구 자..
170,용산, [이벤트] 핑딱의 마격타임 이벤트!!
171,월급도둑,무료화 소리듣고 오는 호구들 봐라
172,미르코아자르,리니지 15년전에 하고 무료화되서 해보는데 ..
173,끠여운끄노,린저씨들을 위한 쿠폰 사기 안당하는법...
174,토렌트1,이거 레벨 어케 올림?
175,비의요정,와 이게임이 그 유명한. 그 리니지게임인가요
176,토렌트1,리니지는 이제 망한 게임인가여 ㅠㅠ
177,영응왕,예티앱
178,브랜더,님덜 이 피씨로 리마스터 돌아갈까유
179,아덴왕자,장비정리한 아데나 거래하실분계시나요^^ (어..
180,눈알,니니지 무과금으로 즐길만 한가유?
181,님지발,오늘 업데이트 하고 나만 팅기냐?
182,우유먹쟈,리니지M
183,토렌트1,리니지 리마스터 재밋나요??
184,keroth,지피방 업체의 흔한 고객대응..
185,소피문,요즘 양산형게임의 당당함.
186,견적견적,"리니지m , 리마스터 고민중"
187,살려주세요네,TJ쿠폰 나눔좀 부탁드립니다~~
188,하령님,다엘 더블 이펙트가 안보이는데 왜이러는거죠?
189,던린이잉,Tj쿠폰 사기꾼
190,코륨광맥,은하수쿠폰 사기꾼 공개
191,벨릭드루와,쿠폰 사기 그만 낚이세여
192,꼬록이,tj쿠폰있으신분
193,팜투팜,2019 여름에 어울리는 10대 원피스
194,박솜털,데스서버 '데스페라도' 팔아요
195,Sbear,게임안하는데 받아놓은 사전예약 쿠폰 있어요~
196,가수정엽팬,메플하는 20대인데
197,후회만,TJ쿠폰 필요한분 계신가여? (수정 선착순 ..
198,왕의마음,피시방쿠폰 등록좀해주실분ㅠ
199,안젤리스o,리니지 새로운 맘으로 시작하려는 논피케서버 ..
200,눈알,니니지 논피케이서버있나유?
201,배아기,오늘 신섭나오나요?
202,설리짱귀욤,리니지 처음 해보는 사람인데요 사전예약쿠폰 ..
203,밴드로마츠,부분유료화 한거아닙니까? 게임을 할수가 없네
204,문희티켓,다이아직충33333333
205,니아라아,형들 자사돌릴때 영어공부할려고하는데 좀 봐주..
206,미도협,소시밍 전문 사기범 입니다
207,미도협,전문사기범 입니다
208,미도협,농협 안태성 게좌도 쿠폰 사기 입니다
209,미도협,쿠폰 만원에 산다는 사람 널림 만원 밑으로 ..
210,미도협,카톡 teemo94 tj쿠폰 사기입니다
211,신족단군,마격 부탁드립니다.
212,나곱게자랐다,복귀유저입니다. 무기 어디서 사요?
213,세이렌샤벨,리린이가 자게 형님들께 질문좀 던져봅니다.
214,치즈넛,TJ 쿠폰 나눔 부탁드려요..ㅠㅠ!!
215,트루니엘해제,힘으로시작한다엘 스텟여!!
216,Catle,데이는 어디서 구할수 있나요?
217,용담파,Tj쿠폰 나눔 부탁드리겠습니다
218,전태풍,형님들의 많은 조언 부탁드립니다. 계정거래관..
219,삐삐소녀,TJ쿠폰 나눔 원합니다.
220,레읻21321,리마스터 TJ쿠폰 필요없으신분 기부좀 해주세..
221,취권,무료쿠폰있어서 받아서 해봤는데....
222,Parkmyhun,형님들 TJ 쿠폰 한장만 나눔 부탁드립니다
223,무림콧털,아덴 국왕의 용사 인증서이거 어디에 쓰는겁니..
224,빙화란,TJ 쿠폰으로
225,음파진동,TJ쿠폰 기부좀 부탁합니다 형님들!
226,Yagi1,예티 안되는 사람?
227,쩡이v,TJ쿠폰 팔리나요?
228,냉동고등어,완전 버프혈 지향!! '닥사' 혈원모집합니다
229,스타본좌,언제부터 무료임?
230,렘쨩,형들 나개초보 용기사인데 70넘음!
231,Unkoz,리마스터 쿠폰 얼마에 거래되나요
232,여름타나봐,쿠폰 부탁 드려봅니다 ㅠㅠ
233,카리수마한,TJ쿠폰 구해요
234,붕어v,tj쿠폰 나눔 부탁해요! 이니로 레벨업시켜드..
235,게르네스,처음하는 뉴비 질문좀요!
236,그루트대장,데스나이트 스타혈은 봐라
237,auracrops01,리마스터 TJ쿠폰 나눔 부탁드려요!
238,케덕,tj 쿠폰 나눔가능하면 부탁드립니다.
239,자라토스,TJ 쿠폰 나눔 부탁드립니다
240,나누구냐니까,메티스쿠폰 문의 ㅠㅠ
241,몸빵충,리마스터 쿠폰 좀 나눔 부탁드려요...
242,윈젤,TJ 쿠폰 나눔좀 해주실분 ㅠㅠ
243,산미,TJ 쿠폰 나눔좀 해주실분 ㅠㅠ
244,편한하루,TJ쿠폰 나눔좀해주실분ㅠ
245,그라프쉬페,TJ 쿠폰 나눔좀 해주실분
246,정도우희,티제이 쿠폰 드림
247,용마진,메티스쿠폰사용할수없다뜨는데
248,천화란,닉값
249,앙퀭항,리니지 신섭or 구섭 복귀 진지하게 질문
250,찡코,기사단 패키지 사서 하려고 하는데
251,심심해서,질리언섭 버프혈 / 제주도  모여라!!   ..
252,강남구찌,리마스터 발라카스! 텐프로 혈맹
253,넬시프,찾습니다
254,숫가락3780,sadsda
255,흠뭐야,질문있는데요
256,버프너프,75까지 기사단 9검 안뜨면 어케하나요?
257,헌터a,사전등록쿠폰 간절하게 구합니다
258,개두꺼운물건,밑에 티이이이모 이새끼 사기다 얘들아
259,Fall00700,TJ쿠폰 기부좀 해주실 형님 없으십니까? ㅠ..
260,행복aa,캐릭터 추천좀해주세요
261,유월들후,자동사냥할때 제자리에 머무는거 어케하나요?
262,무림콧털,레벨낮은데 바포메트 어떻게 변신하고댕기는거죠..
263,밀크커피,유저에 비해서 자게가 너무 조용하다..
264,라이프업,리니지는 이제 보는게임인 이유
265,시글,신기할 정도로 글 리젠도 정보도 없네요 ;;
266,페르시안,3년만에 마격시간입니다..!
267,역관절,리마망 신섭도 망
268,겨울날,돈은 어디서 버는것이에요?
269,씨와이,[모닝스타]를 아시나요??
270,지존유령,형들 프리30일 썼는데 일주일도 안되서 이용..
271,김이바,여러계정돌리는거요 지금안되나요??
272,야루루루,TJ 쿠폰 나눔 가능하신분~!!
273,gggxxx,TJ쿠폰 주실 형님 계십니까?
274,토스카넬리,발센 중립 길드 가입원합니다
275,김썽v,성님들 리니미 리마스터 뉴빈데염 드다 뭐하는..
276,리태훈,TJ쿠폰 나눔 해주실분 ㅠㅠㅠㅠ
277,클갓,TJ 쿠폰 나눔해주실 형님 계신가요~~?
278,인묠,형님들 TJ한장 구원 부탁드립니다 ..뉴비에..
279,데스공부,리니지 TJ 쿠폰 나눔좀 부탁드립니다
280,메로오옹,사전예약 쿠폰 나눔좀 부탁드려요 ..
281,아르소나,사기꾼 알아내는 법
282,아르소나,망나뇽1 <- 사기꾼
283,인보보옹,해당 아이템을 사용할 수 없습니다라고 왜 뜨..
284,즐겜유저키엘,소과금 기사 전사 용기사 다엘 근접중에 어떤..
285,Jabbuck,사전예약 쿠폰 나눔부탁드립니다.
286,데스공부,리니지 TJ 쿠폰 나눔좀 부탁드립니다
287,양돼입니다,리니지 오랜만에 해보고싶은데 쿠폰 나눔좀 부..
288,브룩입니다요,tj쿠폰 나눔 좀 해주세요..
289,아라리리이,tj쿠폰 나눔 부탁 좀 드리겠습니다.
290,텍사스윙,TJ 쿠폰 나눔 부탁드리겠습니다 ㅠ
291,간지붕붕이,tj선물상자 받으려면 캐릭터를 먼저 생성해야..
292,담담,tj쿠폰 나눔해주시면 감사하겠습니다.(완료)
293,Roah,쿠폰 거래/대리글은 무통보 삭제/제재 조치됩..
294,난나나나두,리마스터 사전쿠폰나눔부탁드려용..!!
295,태성이사기꾼,더줘또줘다줘 <- 쿠폰 사기꾼 입니다 ..
296,사적데비앙,캐쉬 10으로 머부터 사야할까여??
297,쉰발름,TJ 쿠폰 하나만주실분...ㅠㅠ
298,머라이어,tj쿠폰 나눔 부탁합니다 행님들
299,Fall00700,TJ쿠폰 나눔쫌 부탁드려욤
300,뚠뚠개미,사전 예약 쿠폰 무료 나눔 합니다 몇장없지만..
301,여마황,TJ쿠폰 여유되시는분 하나만 주세요..
302,형이한다,쿠폰 사기꾼 ㅋㅋㅋ
303,깽스터1,문장은 어디서사나요?
304,Sabio,사전예약 쿠폰나눔부탁드려요 여유있는분 쪽지좀..
305,가나다락,TJ쿠폰하나만주세요형님들
306,무림콧털,솔직히 tj쿠폰 메티스 쿠폰 차이 떄문에 겜..
307,마댁꾸,쿠폰 팔려고했는데 귀찮아서 그냥 준다 먼저쓴..
308,lordofwar,리마스터 쿠폰 나눔해주실분....
309,e2002lklk,군터서버로  시작한뉴비인데...
310,응기모찌,『건달』데스나이트 서버 혈맹원 모집 !!
311,단무지화이팅,사전 쿠폰 나눔좀 부탁드립니다.ㅠㅠ
312,Sabio,더줘또줘다줘 <<사기꾼입니다 조심..
313,무림콧털,리니지 pc방 쿠폰 종이로 되어있는건가요? ..
314,리마사전,사전쿠폰팔아요!
315,꿀바디,무슨 게임 게시판이 쿠폰 팔고 앵벌하는 글만..
316,ooxeoo,리니지 tj 쿠폰 나눔 부탁드려요... 구입..
317,견우a,리마스터 망했음?
318,Paulsmith,9장궁 7강부 7골무 이런거 쓸모 있나요?
319,카리스문,쿠폰 무료 나눔 선착순
320,쿨합니다,티제이쿠폰 줭
321,도깨비다,혹시 메티스의 쿠폰받고 사용했을경우에
322,도깨비다,tj쿠폰 나눔해주실분있나요
323,hanbyul,신섭에서 요정하는데
324,설한풍, tj쿠폰 선착순 등록하세요~
325,라스턴청국장,리마스터 쿠폰으로 리엠 쿠폰 구해요
326,현정왕,TJ 쿠폰 나눔해주실분.. ㅜㅜ..
327,Gweonh,리니지 사전예약 쿠폰
328,박여띠,쿠폰 나눔
329,천소월,TJ쿠폰 나눔부탁드려요 리니지 첨하는데 돠주..
330,세르자느,TJ쿠폰 나눔 부탁드립니다.
331,Duk,사전예약 쿠폰나눔부탁드려요 이니이니
332,유치원때얼짱,초보존에서 공짜로
333,회원자,61레벨 다크엘프 8푸귀
334,해골마,tj쿠폰 나눔 부탁드려요~
335,낙주니,용티 축주문서
336,Bryankim,질문 몇가지 있어여!
337,헐준,리니지 리마스터 스킨 제작해주실분
338,미미미미미메,사기꾼들아
339,한타님,tj 쿠폰 하나만 나눔해주세요
340,태양부러지,10여년만에 해보려는데 쉽지가 안네요..
341,태성이사기꾼,안태x 수협 절대 계좌이체 하지마세요 쿠폰 ..
342,얄라꾸,요정 활 화살 다있는데 공격이안돼요
343,강한뇸,TJ쿠폰
344,장고프리,사전예약을 놓쳤습니다.쿠폰나눔해주실 천사분을..
345,미미미미미메,사기꾼 글삭튀 ㅋㅋㅋ
346,도깨비다,사전예약 쿠폰 주실분 계신가요..
347,코륨광맥,투사 뱀파잇으면 3단공격써도 피참?
348,장기전문매매,tj 쿠폰 1개만 나눔해주시면 정말 감사하겠..
349,큼큼타타,tj 쿠폰 나눔좀 부탁드립니다~
350,No군주,free days 30일 무료 계정 끝나신분..
351,하늘이얀,군주를 만나 가입하세요 ??
352,투스카디,리마스터 쿠폰 나눔해주실분
353,닉프라임,마법인형 질문이요
354,녹이당,리마스터 쿠폰 격하게 필요합니다. 나눔좀 해..
355,스웹,기사단의 축복 무기주문서
